1770619171.256030 server started (20939): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1770619171.256099 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1770619171.256112 using libevent 2.1.12-stable select
1770619171.256127 using utf8proc 2.11.3
1770619171.256136 using ncurses 6.5 20240427
1770619171.287510 args_parse_flags: next -Ft=
1770619171.287514 args_parse_flags: -F
1770619171.287518 args_parse_flag_argument: -t = =
1770619171.287522 args_parse_flags: next #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1770619171.287526 args_parse: flags end at 2 of 5
1770619171.287530 args_parse: 2 = #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}} (type STRING)
1770619171.287536 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1770619171.287619 args_parse: 4 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1770619171.287711 cmd_parse_build_commands: if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1770619171.287722 args_parse_flags: next -n
1770619171.287725 args_parse_flags: -n
1770619171.287729 args_parse_flags: next MouseDown3Pane
1770619171.287733 args_parse: flags end at 2 of 4
1770619171.287736 args_parse: 2 = MouseDown3Pane (type STRING)
1770619171.287826 args_parse: 3 = if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } (type COMMANDS)
1770619171.287916 cmd_parse_build_commands: bind-key -n MouseDown3Pane { if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } }
1770619171.287928 cmdq_get_command: [bind-key/0xac6c49f00] group 1138
1770619171.287932 cmdq_append <global>: [bind-key/0xac6c49f00]
1770619171.287936 yylex_token: end at WS
1770619171.287940 yylex_token: bind
1770619171.287943 yylex_token: end at WS
1770619171.287951 yylex_token: -n
1770619171.287956 yylex_token: end at WS
1770619171.287959 yylex_token: M-MouseDown3Pane
1770619171.287964 yylex_token: end at WS
1770619171.287967 yylex_token: display-menu
1770619171.287970 yylex_token: end at WS
1770619171.287974 yylex_token: -t=
1770619171.287977 yylex_token: end at WS
1770619171.287980 yylex_token: -xM
1770619171.287984 yylex_token: end at WS
1770619171.287987 yylex_token: -yM
1770619171.287990 yylex_token: end at WS
1770619171.287993 yylex_token: -T
1770619171.287999 yylex_token: end at WS
1770619171.288003 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1770619171.288009 yylex_token: end at WS
1770619171.288012 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770619171.288016 yylex_token: end at WS
1770619171.288019 yylex_token: <
1770619171.288023 yylex_token: end at WS
1770619171.288028 yylex_token: send
1770619171.288031 yylex_token: end at WS
1770619171.288035 yylex_token: -X
1770619171.288039 yylex_token: end at }
1770619171.288042 yylex_token: history-top
1770619171.288048 yylex_token: end at WS
1770619171.288052 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1770619171.288055 yylex_token: end at WS
1770619171.288058 yylex_token: >
1770619171.288062 yylex_token: end at WS
1770619171.288065 yylex_token: send
1770619171.288069 yylex_token: end at WS
1770619171.288072 yylex_token: -X
1770619171.288076 yylex_token: end at }
1770619171.288079 yylex_token: history-bottom
1770619171.288082 yylex_token: end at WS
1770619171.288086 yylex_token: 
1770619171.288092 yylex_token: end at WS
1770619171.288095 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1770619171.288099 yylex_token: end at WS
1770619171.288102 yylex_token: C-r
1770619171.288105 yylex_token: end at WS
1770619171.288108 yylex_token: if
1770619171.288112 yylex_token: end at WS
1770619171.288115 yylex_token: -F
1770619171.288120 yylex_token: end at WS
1770619171.288124 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770619171.288128 yylex_token: end at ;
1770619171.288131 yylex_token: copy-mode -t=
1770619171.288135 yylex_token: end at WS
1770619171.288138 yylex_token: send
1770619171.288142 yylex_token: end at WS
1770619171.288145 yylex_token: -Xt=
1770619171.288149 yylex_token: end at WS
1770619171.288152 yylex_token: search-backward
1770619171.288156 yylex_token: end at WS
1770619171.288159 yylex_token: --
1770619171.288163 yylex_token: end at }
1770619171.288167 yylex_token: #{q:mouse_word}
1770619171.288173 yylex_token: end at WS
1770619171.288177 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1770619171.288180 yylex_token: end at WS
1770619171.288183 yylex_token: C-y
1770619171.288187 yylex_token: end at WS
1770619171.288190 yylex_token: copy-mode
1770619171.288194 yylex_token: end at ;
1770619171.288197 yylex_token: -q
1770619171.288201 yylex_token: end at WS
1770619171.288204 yylex_token: send-keys
1770619171.288207 yylex_token: end at WS
1770619171.288210 yylex_token: -l
1770619171.288214 yylex_token: end at WS
1770619171.288217 yylex_token: --
1770619171.288221 yylex_token: end at }
1770619171.288224 yylex_token: #{q:mouse_word}
1770619171.288230 yylex_token: end at WS
1770619171.288234 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1770619171.288237 yylex_token: end at WS
1770619171.288240 yylex_token: c
1770619171.288244 yylex_token: end at WS
1770619171.288247 yylex_token: copy-mode
1770619171.288251 yylex_token: end at ;
1770619171.288254 yylex_token: -q
1770619171.288258 yylex_token: end at WS
1770619171.288261 yylex_token: set-buffer
1770619171.288264 yylex_token: end at WS
1770619171.288267 yylex_token: --
1770619171.288271 yylex_token: end at }
1770619171.288274 yylex_token: #{q:mouse_word}
1770619171.288279 yylex_token: end at WS
1770619171.288283 yylex_token: #{?mouse_line,Copy Line,}
1770619171.288286 yylex_token: end at WS
1770619171.288290 yylex_token: l
1770619171.288294 yylex_token: end at WS
1770619171.288297 yylex_token: copy-mode
1770619171.288300 yylex_token: end at ;
1770619171.288308 yylex_token: -q
1770619171.288312 yylex_token: end at WS
1770619171.288315 yylex_token: set-buffer
1770619171.288319 yylex_token: end at WS
1770619171.288322 yylex_token: --
1770619171.288326 yylex_token: end at }
1770619171.288329 yylex_token: #{q:mouse_line}
1770619171.288333 yylex_token: end at WS
1770619171.288336 yylex_token: 
1770619171.288343 yylex_token: end at WS
1770619171.288346 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1770619171.288349 yylex_token: end at WS
1770619171.288353 yylex_token: C-h
1770619171.288356 yylex_token: end at WS
1770619171.288360 yylex_token: copy-mode
1770619171.288363 yylex_token: end at ;
1770619171.288366 yylex_token: -q
1770619171.288370 yylex_token: end at WS
1770619171.288373 yylex_token: send-keys
1770619171.288376 yylex_token: end at WS
1770619171.288380 yylex_token: -l
1770619171.288383 yylex_token: end at WS
1770619171.288386 yylex_token: --
1770619171.288391 yylex_token: end at }
1770619171.288394 yylex_token: #{q:mouse_hyperlink}
1770619171.288401 yylex_token: end at WS
1770619171.288404 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1770619171.288408 yylex_token: end at WS
1770619171.288411 yylex_token: h
1770619171.288415 yylex_token: end at WS
1770619171.288418 yylex_token: copy-mode
1770619171.288421 yylex_token: end at ;
1770619171.288425 yylex_token: -q
1770619171.288429 yylex_token: end at WS
1770619171.288432 yylex_token: set-buffer
1770619171.288435 yylex_token: end at WS
1770619171.288438 yylex_token: --
1770619171.288443 yylex_token: end at }
1770619171.288446 yylex_token: #{q:mouse_hyperlink}
1770619171.288450 yylex_token: end at WS
1770619171.288453 yylex_token: 
1770619171.288457 yylex_token: end at WS
1770619171.288460 yylex_token: Horizontal Split
1770619171.288463 yylex_token: end at WS
1770619171.288467 yylex_token: h
1770619171.288471 yylex_token: end at WS
1770619171.288474 yylex_token: split-window
1770619171.288477 yylex_token: end at }
1770619171.288480 yylex_token: -h
1770619171.288485 yylex_token: end at WS
1770619171.288488 yylex_token: Vertical Split
1770619171.288491 yylex_token: end at WS
1770619171.288494 yylex_token: v
1770619171.288498 yylex_token: end at WS
1770619171.288502 yylex_token: split-window
1770619171.288505 yylex_token: end at }
1770619171.288508 yylex_token: -v
1770619171.288511 yylex_token: end at WS
1770619171.288515 yylex_token: 
1770619171.288520 yylex_token: end at WS
1770619171.288523 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1770619171.288527 yylex_token: end at WS
1770619171.288530 yylex_token: u
1770619171.288533 yylex_token: end at WS
1770619171.288537 yylex_token: swap-pane
1770619171.288540 yylex_token: end at }
1770619171.288543 yylex_token: -U
1770619171.288548 yylex_token: end at WS
1770619171.288552 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1770619171.288555 yylex_token: end at WS
1770619171.288558 yylex_token: d
1770619171.288562 yylex_token: end at WS
1770619171.288565 yylex_token: swap-pane
1770619171.288569 yylex_token: end at }
1770619171.288572 yylex_token: -D
1770619171.288577 yylex_token: end at WS
1770619171.288580 yylex_token: #{?pane_marked_set,,-}Swap Marked
1770619171.288584 yylex_token: end at WS
1770619171.288587 yylex_token: s
1770619171.288591 yylex_token: end at }
1770619171.288594 yylex_token: swap-pane
1770619171.288597 yylex_token: end at WS
1770619171.288600 yylex_token: 
1770619171.288604 yylex_token: end at WS
1770619171.288607 yylex_token: Kill
1770619171.288610 yylex_token: end at WS
1770619171.288614 yylex_token: X
1770619171.288618 yylex_token: end at }
1770619171.288621 yylex_token: kill-pane
1770619171.288625 yylex_token: end at WS
1770619171.288628 yylex_token: Respawn
1770619171.288632 yylex_token: end at WS
1770619171.288635 yylex_token: R
1770619171.288639 yylex_token: end at WS
1770619171.288642 yylex_token: respawn-pane
1770619171.288645 yylex_token: end at }
1770619171.288649 yylex_token: -k
1770619171.288654 yylex_token: end at WS
1770619171.288657 yylex_token: #{?pane_marked,Unmark,Mark}
1770619171.288665 yylex_token: end at WS
1770619171.288668 yylex_token: m
1770619171.288672 yylex_token: end at WS
1770619171.288675 yylex_token: select-pane
1770619171.288679 yylex_token: end at }
1770619171.288682 yylex_token: -m
1770619171.288688 yylex_token: end at WS
1770619171.288692 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1770619171.288695 yylex_token: end at WS
1770619171.288698 yylex_token: z
1770619171.288702 yylex_token: end at WS
1770619171.288705 yylex_token: resize-pane
1770619171.288709 yylex_token: end at }
1770619171.288712 yylex_token: -Z
1770619171.288717 cmd_parse_build_commands 0:0: bind
1770619171.288723 cmd_parse_build_commands 0:1: -n
1770619171.288726 cmd_parse_build_commands 0:2: M-MouseDown3Pane
1770619171.288730 cmd_parse_build_commands 0:3 0:0: display-menu
1770619171.288734 cmd_parse_build_commands 0:3 0:1: -t=
1770619171.288737 cmd_parse_build_commands 0:3 0:2: -xM
1770619171.288741 cmd_parse_build_commands 0:3 0:3: -yM
1770619171.288744 cmd_parse_build_commands 0:3 0:4: -T
1770619171.288748 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{pane_index} (#{pane_id})
1770619171.288752 cmd_parse_build_commands 0:3 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770619171.288755 cmd_parse_build_commands 0:3 0:7: <
1770619171.288759 cmd_parse_build_commands 0:3 0:8 0:0: send
1770619171.288762 cmd_parse_build_commands 0:3 0:8 0:1: -X
1770619171.288766 cmd_parse_build_commands 0:3 0:8 0:2: history-top
1770619171.288770 cmd_parse_build_commands 0:3 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1770619171.288773 cmd_parse_build_commands 0:3 0:10: >
1770619171.288777 cmd_parse_build_commands 0:3 0:11 0:0: send
1770619171.288780 cmd_parse_build_commands 0:3 0:11 0:1: -X
1770619171.288783 cmd_parse_build_commands 0:3 0:11 0:2: history-bottom
1770619171.288787 cmd_parse_build_commands 0:3 0:12: 
1770619171.288791 cmd_parse_build_commands 0:3 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1770619171.288794 cmd_parse_build_commands 0:3 0:14: C-r
1770619171.288798 cmd_parse_build_commands 0:3 0:15 0:0: if
1770619171.288801 cmd_parse_build_commands 0:3 0:15 0:1: -F
1770619171.288805 cmd_parse_build_commands 0:3 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770619171.288808 cmd_parse_build_commands 0:3 0:15 0:3: copy-mode -t=
1770619171.288812 cmd_parse_build_commands 0:3 0:15 1:0: send
1770619171.288815 cmd_parse_build_commands 0:3 0:15 1:1: -Xt=
1770619171.288818 cmd_parse_build_commands 0:3 0:15 1:2: search-backward
1770619171.288822 cmd_parse_build_commands 0:3 0:15 1:3: --
1770619171.288825 cmd_parse_build_commands 0:3 0:15 1:4: #{q:mouse_word}
1770619171.288829 cmd_parse_build_commands 0:3 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1770619171.288832 cmd_parse_build_commands 0:3 0:17: C-y
1770619171.288836 cmd_parse_build_commands 0:3 0:18 0:0: copy-mode
1770619171.288839 cmd_parse_build_commands 0:3 0:18 0:1: -q
1770619171.288842 cmd_parse_build_commands 0:3 0:18 1:0: send-keys
1770619171.288846 cmd_parse_build_commands 0:3 0:18 1:1: -l
1770619171.288849 cmd_parse_build_commands 0:3 0:18 1:2: --
1770619171.288852 cmd_parse_build_commands 0:3 0:18 1:3: #{q:mouse_word}
1770619171.288856 cmd_parse_build_commands 0:3 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1770619171.288859 cmd_parse_build_commands 0:3 0:20: c
1770619171.288863 cmd_parse_build_commands 0:3 0:21 0:0: copy-mode
1770619171.288866 cmd_parse_build_commands 0:3 0:21 0:1: -q
1770619171.288869 cmd_parse_build_commands 0:3 0:21 1:0: set-buffer
1770619171.288873 cmd_parse_build_commands 0:3 0:21 1:1: --
1770619171.288876 cmd_parse_build_commands 0:3 0:21 1:2: #{q:mouse_word}
1770619171.288879 cmd_parse_build_commands 0:3 0:22: #{?mouse_line,Copy Line,}
1770619171.288883 cmd_parse_build_commands 0:3 0:23: l
1770619171.288886 cmd_parse_build_commands 0:3 0:24 0:0: copy-mode
1770619171.288890 cmd_parse_build_commands 0:3 0:24 0:1: -q
1770619171.288893 cmd_parse_build_commands 0:3 0:24 1:0: set-buffer
1770619171.288902 cmd_parse_build_commands 0:3 0:24 1:1: --
1770619171.288906 cmd_parse_build_commands 0:3 0:24 1:2: #{q:mouse_line}
1770619171.288909 cmd_parse_build_commands 0:3 0:25: 
1770619171.288913 cmd_parse_build_commands 0:3 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1770619171.288917 cmd_parse_build_commands 0:3 0:27: C-h
1770619171.288920 cmd_parse_build_commands 0:3 0:28 0:0: copy-mode
1770619171.288923 cmd_parse_build_commands 0:3 0:28 0:1: -q
1770619171.288927 cmd_parse_build_commands 0:3 0:28 1:0: send-keys
1770619171.288930 cmd_parse_build_commands 0:3 0:28 1:1: -l
1770619171.288933 cmd_parse_build_commands 0:3 0:28 1:2: --
1770619171.288937 cmd_parse_build_commands 0:3 0:28 1:3: #{q:mouse_hyperlink}
1770619171.288941 cmd_parse_build_commands 0:3 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1770619171.288944 cmd_parse_build_commands 0:3 0:30: h
1770619171.288948 cmd_parse_build_commands 0:3 0:31 0:0: copy-mode
1770619171.288951 cmd_parse_build_commands 0:3 0:31 0:1: -q
1770619171.288954 cmd_parse_build_commands 0:3 0:31 1:0: set-buffer
1770619171.288957 cmd_parse_build_commands 0:3 0:31 1:1: --
1770619171.288961 cmd_parse_build_commands 0:3 0:31 1:2: #{q:mouse_hyperlink}
1770619171.288964 cmd_parse_build_commands 0:3 0:32: 
1770619171.288968 cmd_parse_build_commands 0:3 0:33: Horizontal Split
1770619171.288971 cmd_parse_build_commands 0:3 0:34: h
1770619171.288975 cmd_parse_build_commands 0:3 0:35 0:0: split-window
1770619171.288978 cmd_parse_build_commands 0:3 0:35 0:1: -h
1770619171.288981 cmd_parse_build_commands 0:3 0:36: Vertical Split
1770619171.288985 cmd_parse_build_commands 0:3 0:37: v
1770619171.288988 cmd_parse_build_commands 0:3 0:38 0:0: split-window
1770619171.288991 cmd_parse_build_commands 0:3 0:38 0:1: -v
1770619171.288995 cmd_parse_build_commands 0:3 0:39: 
1770619171.288998 cmd_parse_build_commands 0:3 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1770619171.289002 cmd_parse_build_commands 0:3 0:41: u
1770619171.289005 cmd_parse_build_commands 0:3 0:42 0:0: swap-pane
1770619171.289008 cmd_parse_build_commands 0:3 0:42 0:1: -U
1770619171.289012 cmd_parse_build_commands 0:3 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1770619171.289015 cmd_parse_build_commands 0:3 0:44: d
1770619171.289019 cmd_parse_build_commands 0:3 0:45 0:0: swap-pane
1770619171.289022 cmd_parse_build_commands 0:3 0:45 0:1: -D
1770619171.289026 cmd_parse_build_commands 0:3 0:46: #{?pane_marked_set,,-}Swap Marked
1770619171.289029 cmd_parse_build_commands 0:3 0:47: s
1770619171.289033 cmd_parse_build_commands 0:3 0:48 0:0: swap-pane
1770619171.289036 cmd_parse_build_commands 0:3 0:49: 
1770619171.289039 cmd_parse_build_commands 0:3 0:50: Kill
1770619171.289042 cmd_parse_build_commands 0:3 0:51: X
1770619171.289046 cmd_parse_build_commands 0:3 0:52 0:0: kill-pane
1770619171.289049 cmd_parse_build_commands 0:3 0:53: Respawn
1770619171.289053 cmd_parse_build_commands 0:3 0:54: R
1770619171.289056 cmd_parse_build_commands 0:3 0:55 0:0: respawn-pane
1770619171.289060 cmd_parse_build_commands 0:3 0:55 0:1: -k
1770619171.289063 cmd_parse_build_commands 0:3 0:56: #{?pane_marked,Unmark,Mark}
1770619171.289067 cmd_parse_build_commands 0:3 0:57: m
1770619171.289070 cmd_parse_build_commands 0:3 0:58 0:0: select-pane
1770619171.289073 cmd_parse_build_commands 0:3 0:58 0:1: -m
1770619171.289077 cmd_parse_build_commands 0:3 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1770619171.289080 cmd_parse_build_commands 0:3 0:60: z
1770619171.289084 cmd_parse_build_commands 0:3 0:61 0:0: resize-pane
1770619171.289087 cmd_parse_build_commands 0:3 0:61 0:1: -Z
1770619171.289092 cmd_parse_build_commands 0:0: display-menu
1770619171.289095 cmd_parse_build_commands 0:1: -t=
1770619171.289098 cmd_parse_build_commands 0:2: -xM
1770619171.289102 cmd_parse_build_commands 0:3: -yM
1770619171.289105 cmd_parse_build_commands 0:4: -T
1770619171.289108 cmd_parse_build_commands 0:5: #[align=centre]#{pane_index} (#{pane_id})
1770619171.289112 cmd_parse_build_commands 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770619171.289120 cmd_parse_build_commands 0:7: <
1770619171.289124 cmd_parse_build_commands 0:8 0:0: send
1770619171.289127 cmd_parse_build_commands 0:8 0:1: -X
1770619171.289130 cmd_parse_build_commands 0:8 0:2: history-top
1770619171.289134 cmd_parse_build_commands 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1770619171.289137 cmd_parse_build_commands 0:10: >
1770619171.289141 cmd_parse_build_commands 0:11 0:0: send
1770619171.289144 cmd_parse_build_commands 0:11 0:1: -X
1770619171.289148 cmd_parse_build_commands 0:11 0:2: history-bottom
1770619171.289151 cmd_parse_build_commands 0:12: 
1770619171.289155 cmd_parse_build_commands 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1770619171.289158 cmd_parse_build_commands 0:14: C-r
1770619171.289162 cmd_parse_build_commands 0:15 0:0: if
1770619171.289165 cmd_parse_build_commands 0:15 0:1: -F
1770619171.289168 cmd_parse_build_commands 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770619171.289172 cmd_parse_build_commands 0:15 0:3: copy-mode -t=
1770619171.289175 cmd_parse_build_commands 0:15 1:0: send
1770619171.289179 cmd_parse_build_commands 0:15 1:1: -Xt=
1770619171.289182 cmd_parse_build_commands 0:15 1:2: search-backward
1770619171.289185 cmd_parse_build_commands 0:15 1:3: --
1770619171.289189 cmd_parse_build_commands 0:15 1:4: #{q:mouse_word}
1770619171.289192 cmd_parse_build_commands 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1770619171.289196 cmd_parse_build_commands 0:17: C-y
1770619171.289199 cmd_parse_build_commands 0:18 0:0: copy-mode
